trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
T1,06:00:00,06:00:00,S1,1,,0,0
T1,06:15:00,06:15:00,S7,2,,0,0
T1,06:30:00,06:30:00,S2,3,,0,0
T1,06:45:00,06:45:00,S3,4,,0,0
T1,07:00:00,07:00:00,S5,5,,0,0
T1,07:15:00,07:15:00,S6,6,,0,0
T2,07:30:00,07:30:00,S6,1,,0,0
T2,07:45:00,07:45:00,S5,2,,0,0
T2,08:00:00,08:00:00,S3,3,,0,0
T2,08:15:00,08:15:00,S2,4,,0,0
T2,08:30:00,08:30:00,S7,5,,0,0
T2,08:45:00,08:45:00,S1,6,,0,0
T2,09:00:00,09:00:00,S15,7,,0,0
T3,06:00:00,06:00:00,S8,1,,0,0
T3,06:15:00,06:15:00,S9,2,,0,0
T3,06:30:00,06:30:00,S10,3,,0,0
T3,06:45:00,06:45:00,S3,4,,0,0
T3,07:00:00,07:00:00,S4,5,,0,0
T4,07:15:00,07:15:00,S4,1,,0,0
T4,07:30:00,07:30:00,S3,2,,0,0
T4,07:45:00,07:45:00,S10,3,,0,0
T4,08:00:00,08:00:00,S9,4,,0,0
T4,08:15:00,08:15:00,S8,5,,0,0
T4,08:30:00,08:30:00,S13,6,,0,0
T5,06:00:00,06:00:00,S14,1,,0,0
T5,06:20:00,06:20:00,S4,2,,0,0
T5,06:40:00,06:40:00,S2,3,,0,0
T5,07:00:00,07:00:00,S1,4,,0,0
T6,07:20:00,07:20:00,S1,1,,0,0
T6,07:40:00,07:40:00,S2,2,,0,0
T6,08:00:00,08:00:00,S4,3,,0,0
T6,08:20:00,08:20:00,S14,4,,0,0
T6,08:40:00,08:40:00,S11,5,,0,0
T6,09:00:00,09:00:00,S12,6,,0,0
